alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,residual sugar,sulphates,total sulfur dioxide,volatile acidity
9.5,0.042,0.71,0.99784,6.8,21.0,2.85,17.5,0.5,114.0,0.19
10.1,0.04,0.28,0.99541,7.8,46.0,3.14,7.2,0.6,179.0,0.25
8.7,0.044,0.63,0.9974,7.2,55.0,3.09,11.0,0.44,156.0,0.39
9.8,0.087,0.37,0.99438,7.6,27.0,3.09,1.6,0.5,177.0,0.3
9.1,0.061,0.22,0.99824,6.3,26.0,3.08,16.0,0.5,141.0,0.305
10.2,0.044,0.29,0.99166,6.4,21.0,3.1,1.8,0.38,115.0,0.15
12.5,0.03,0.27,0.99042,6.1,56.0,3.16,4.7,0.42,140.0,0.28
10.2,0.044,0.15,0.9931,6.6,25.0,3.11,4.6,0.38,78.0,0.38
9.5,0.049,0.26,0.99907,7.4,67.0,3.06,15.6,0.68,210.0,0.33
12.5,0.027,0.44,0.99124,7.9,47.0,2.96,6.5,0.37,126.0,0.34
12.5,0.017,0.23,0.9892,7.4,31.0,2.93,1.9,0.36,69.0,0.36
10.0,0.047,0.42,0.99517,9.2,16.0,3.09,2.0,0.66,104.0,0.19
11.2,0.029,0.36,0.99126,7.0,28.0,3.11,2.6,0.37,98.0,0.16
9.8,0.049,0.33,0.9944,9.0,10.0,3.14,3.5,0.36,40.0,0.2
9.4,0.053,0.53,0.9963,6.8,37.0,3.07,10.1,0.4,151.0,0.35
10.6,0.058,0.24,0.9952,6.8,64.0,3.13,9.8,0.51,188.0,0.18
10.0,0.04,0.41,0.9976,7.9,38.0,2.96,15.15,0.6,216.0,0.26
9.9,0.049,0.88,0.9968,10.2,20.0,2.99,6.2,0.51,124.0,0.44
11.1,0.048,0.35,0.99146,7.0,67.0,3.05,2.5,0.56,161.0,0.36
9.5,0.048,0.29,0.99784,6.9,52.0,3.0,13.65,0.6,189.0,0.38
10.1,0.076,0.27,0.99344,7.0,24.0,3.1,1.5,0.52,145.0,0.3
8.7,0.043,0.56,0.9975,6.9,40.0,3.14,11.2,0.46,142.0,0.4
10.0,0.063,0.2,0.9946,7.1,47.0,3.17,6.1,0.42,164.0,0.34
8.7,0.05,0.65,0.9976,7.2,76.0,3.16,10.4,0.42,192.0,0.46
10.9,0.032,0.28,0.9914,7.2,30.0,3.1,1.9,0.39,92.0,0.24
9.4,0.049,0.24,0.9932,6.9,13.0,3.17,1.2,0.51,125.0,0.49
9.9,0.049,0.26,0.9961,6.3,63.0,3.14,12.0,0.55,170.0,0.32
9.9,0.05,0.28,0.9934,7.8,21.0,3.15,1.8,0.44,127.0,0.27
9.1,0.047,0.53,0.9984,7.3,60.5,3.06,12.7,0.45,164.5,0.26
12.4,0.036,0.26,0.9919,6.7,35.0,2.98,9.55,0.37,91.0,0.38
10.9,0.059,0.26,0.9955,7.8,33.0,3.04,9.9,0.42,181.0,0.39
9.1,0.042,0.3,0.9954,9.4,26.0,3.15,1.4,0.46,176.0,0.16
12.8,0.12,0.45,0.99636,5.9,55.0,3.1,22.6,0.35,122.0,0.22
10.9,0.032,0.46,0.993,8.6,13.0,2.89,6.1,0.34,41.0,0.27
9.2,0.063,0.27,0.9969,7.7,39.0,3.09,8.8,0.63,184.0,0.34
12.6,0.028,0.3,0.99164,6.8,33.0,3.13,8.0,0.63,122.0,0.31
9.6,0.096,0.36,0.99642,6.7,18.0,3.11,11.5,0.49,92.0,0.5
9.7,0.035,0.4,0.9947,8.6,17.0,3.14,4.2,0.53,109.0,0.23
13.2,0.035,0.23,0.99062,7.1,24.0,3.15,5.8,0.57,100.0,0.44
11.5,0.048,0.24,0.99456,6.5,20.0,3.06,14.5,0.3,96.0,0.33
9.1,0.132,0.6,0.9934,6.8,42.0,3.09,1.1,0.44,127.0,0.28
10.7,0.035,0.33,0.9962,7.8,33.0,3.11,8.75,0.46,181.0,0.29
11.5,0.022,0.43,0.9928,7.4,22.0,3.13,6.0,0.55,125.0,0.26
9.8,0.046,0.41,0.9954,6.6,51.0,3.14,8.9,0.57,169.0,0.19
11.9,0.032,0.31,0.99044,7.5,36.0,2.97,1.6,0.43,109.0,0.26
11.45,0.046,0.29,0.9902,7.5,34.0,3.04,1.1,0.39,84.0,0.24
9.4,0.065,0.39,0.9974,7.5,29.0,3.16,12.4,0.39,119.0,0.33
10.5,0.055,0.4,0.99532,6.8,41.0,2.98,9.85,0.56,103.0,0.19
8.9,0.033,0.43,0.9974,6.4,64.0,3.08,12.6,0.38,230.0,0.26
11.0,0.04,0.34,0.9976,7.0,12.0,3.07,19.8,0.38,67.0,0.45
11.2,0.046,0.45,0.9943,7.2,57.0,3.13,4.4,0.62,166.0,0.18
9.0,0.051,0.28,0.99792,7.0,29.0,2.96,14.7,0.39,149.0,0.15
8.8,0.069,0.2,0.99908,6.2,33.0,3.15,18.1,0.5,158.0,0.35
10.5,0.034,0.33,0.99144,6.7,9.0,3.08,3.6,0.4,45.0,0.27
10.6,0.057,0.24,0.99519,6.7,64.0,3.12,10.3,0.5,185.0,0.18
11.0,0.049,0.26,0.9928,6.0,22.0,3.15,6.8,0.42,93.0,0.2
10.4,0.042,0.28,0.99522,6.9,52.0,3.03,12.2,0.56,139.0,0.28
11.2,0.037,0.49,0.9943,8.1,26.0,3.1,8.1,0.3,174.0,0.3
9.4,0.053,0.21,0.9927,6.9,39.0,3.12,1.0,0.45,148.0,0.33
12.0,0.036,0.31,0.99216,7.0,45.0,2.98,9.1,0.31,140.0,0.31
11.0,0.03,0.34,0.992,7.4,30.0,2.97,2.7,0.53,107.0,0.18
10.0,0.044,0.36,0.997,8.1,63.0,3.1,9.7,0.46,162.0,0.2
11.6,0.036,0.42,0.9901,6.2,28.0,3.13,2.2,0.38,128.0,0.3
9.5,0.066,0.39,0.99561,7.0,43.0,3.11,6.9,0.53,162.0,0.34
9.2,0.137,0.81,0.9932,6.9,52.0,3.03,1.1,0.39,123.0,0.21
9.4,0.045,0.43,0.9952,6.4,60.0,3.09,7.1,0.45,221.0,0.28
9.0,0.076,0.74,0.9978,6.4,48.0,3.12,12.8,0.58,209.0,0.42
8.9,0.046,0.58,0.9983,7.7,60.0,3.08,12.1,0.46,177.0,0.28
8.9,0.052,0.46,1.0,7.2,45.0,3.04,18.75,0.52,255.0,0.27
10.5,0.038,0.27,0.99496,6.6,29.0,3.11,10.9,0.44,130.0,0.2
10.4,0.043,0.34,0.99305,7.6,24.0,3.12,1.6,0.7,129.0,0.23
9.4,0.042,0.21,0.99373,6.1,17.0,3.02,5.0,0.53,133.0,0.34
9.5,0.048,0.29,0.99784,6.9,52.0,3.0,13.65,0.6,189.0,0.38
9.6,0.038,0.3,0.9948,6.4,15.0,3.14,5.5,0.49,129.0,0.25
9.6,0.096,0.19,0.9937,6.5,16.0,3.02,4.5,0.44,115.0,0.22
10.7,0.042,0.37,0.99581,7.0,36.0,3.05,12.85,0.55,105.0,0.13
11.0,0.035,0.34,0.99176,8.5,54.0,3.07,1.3,0.55,110.0,0.23
11.2,0.04,0.25,0.98984,6.6,28.0,2.87,1.3,0.48,85.0,0.25
9.0,0.062,0.3,0.99808,6.8,19.0,3.0,12.8,0.52,171.0,0.18
12.4,0.027,0.73,0.99,6.6,21.0,3.12,2.2,0.48,92.0,0.29
9.2,0.051,0.26,0.99416,6.0,16.0,3.15,5.1,0.41,119.0,0.33
11.4,0.048,0.29,0.9915,7.4,14.0,3.06,3.7,0.45,73.0,0.26
11.6,0.047,0.3,0.99152,6.9,13.0,3.16,2.0,0.51,117.0,0.17
11.0,0.044,0.38,0.99326,6.4,35.0,2.97,9.1,0.3,127.0,0.22
8.8,0.069,0.2,0.99908,6.2,33.0,3.15,18.1,0.5,158.0,0.35
8.9,0.055,0.14,0.9941,7.1,24.0,3.15,1.2,0.43,84.0,0.365
9.2,0.058,0.4,0.99322,7.0,30.0,3.03,1.1,0.38,93.0,0.2
9.0,0.051,0.28,0.99792,7.0,29.0,2.96,14.7,0.39,149.0,0.15
10.9,0.037,0.0,0.99032,6.0,30.0,3.1,0.8,0.4,95.0,0.59
9.8,0.032,0.36,0.99214,6.9,13.0,3.07,1.4,0.52,145.0,0.34
12.5,0.03,0.43,0.99164,6.8,30.0,3.08,7.6,0.59,110.0,0.28
9.7,0.042,0.22,0.9954,7.4,26.0,2.86,10.7,0.36,81.0,0.24
10.1,0.044,0.49,0.9938,8.5,29.0,3.14,3.5,0.51,117.0,0.19
9.5,0.05,0.27,0.99422,7.6,23.0,3.08,4.6,0.47,98.0,0.17
10.1,0.042,0.49,0.998,9.2,29.0,3.1,11.8,0.34,137.0,0.28
12.0,0.045,0.5,0.9904,7.8,35.0,3.16,1.3,0.4,140.0,0.17
11.2,0.057,0.44,0.99158,8.0,24.0,3.09,1.0,0.32,111.0,0.2
9.6,0.094,0.3,0.997,6.8,23.0,3.09,11.8,0.44,97.0,0.45
10.2,0.036,0.22,0.9926,7.6,19.0,3.03,2.8,0.29,113.0,0.39
11.1,0.047,0.35,0.99111,6.8,40.0,3.07,1.5,0.72,117.0,0.14
12.1,0.044,0.49,0.99,6.8,35.0,3.13,1.2,0.48,126.0,0.27
12.0,0.034,0.37,0.98952,6.9,36.0,2.93,1.8,0.59,95.0,0.16
10.6,0.062,0.28,0.99506,6.9,22.0,3.16,8.3,0.72,166.0,0.38
9.3,0.13,0.57,0.9927,6.6,58.0,3.12,1.1,0.39,140.0,0.16
10.9,0.059,0.26,0.9955,7.8,33.0,3.04,9.9,0.42,181.0,0.39
11.2,0.028,0.3,0.99242,8.8,34.0,2.94,5.0,0.47,120.0,0.19
10.1,0.042,0.23,0.9948,9.2,15.0,2.89,6.2,0.34,93.0,0.71
10.1,0.029,0.45,0.996,7.5,20.0,3.12,9.1,0.36,125.0,0.42
9.4,0.173,0.39,0.9937,6.7,63.0,3.1,2.9,0.34,157.0,0.24
9.0,0.084,0.46,0.99773,7.6,55.0,2.91,11.7,0.51,170.0,0.39
9.6,0.05,0.51,0.9976,7.0,40.0,3.07,13.6,0.52,168.0,0.3
8.7,0.05,0.27,0.9984,7.4,25.0,2.9,15.5,0.43,135.0,0.16
9.6,0.03,0.45,0.9954,8.2,15.0,3.14,5.4,0.34,118.0,0.61
9.0,0.063,0.37,0.9978,7.3,48.0,2.89,14.3,0.38,191.0,0.22
9.1,0.053,0.3,0.9986,7.4,48.5,3.14,12.8,0.49,229.0,0.19
9.4,0.044,0.42,0.99562,6.6,60.0,3.14,8.2,0.48,196.0,0.28
11.8,0.035,0.27,0.99058,5.9,14.0,3.1,5.0,0.33,97.0,0.27
9.6,0.036,0.49,0.9967,7.6,45.0,3.08,10.0,0.58,182.0,0.23
9.1,0.041,0.32,0.9969,7.1,66.0,3.17,10.3,0.52,272.0,0.25
9.6,0.048,0.46,0.9974,8.4,39.0,3.14,8.7,0.59,197.0,0.27
10.6,0.037,0.23,0.99528,6.3,24.0,3.08,14.2,0.38,99.0,0.29
9.4,0.049,0.26,0.9934,7.1,12.0,3.15,1.9,0.38,86.0,0.28
9.2,0.054,0.23,0.9971,7.8,42.0,3.02,8.8,0.58,215.0,0.42
12.0,0.041,0.32,0.98978,7.3,29.0,3.07,1.2,0.45,94.0,0.26
11.0,0.037,0.29,0.99395,9.4,124.0,2.9,8.5,0.38,208.0,0.24
9.6,0.053,0.24,0.9982,6.9,19.0,3.17,14.2,0.5,94.0,0.23
10.2,0.04,0.4,0.9923,8.6,20.0,2.94,1.1,0.32,107.0,0.18
9.2,0.051,0.74,1.0005,8.5,51.0,2.99,17.85,0.7,243.0,0.56
9.1,0.133,0.58,0.9932,6.6,52.0,3.1,1.1,0.3,136.0,0.22
9.2,0.045,0.31,0.9986,7.4,39.0,3.1,14.5,0.5,193.0,0.19
9.3,0.053,0.37,0.996,6.9,36.0,3.16,8.9,0.5,148.0,0.4
9.4,0.185,0.27,0.9924,6.0,12.0,3.12,0.8,0.62,188.0,0.33
11.3,0.027,0.45,0.99054,6.5,43.0,3.02,2.1,0.52,104.0,0.23
10.5,0.037,0.28,0.9927,7.0,29.0,3.11,1.5,0.55,115.0,0.22
9.4,0.047,0.5,0.9968,6.4,57.0,3.08,10.7,0.6,206.0,0.32
9.1,0.053,0.3,0.9986,7.4,48.5,3.14,12.8,0.49,229.0,0.19
12.3,0.034,0.24,0.99031,6.6,29.0,3.1,3.3,0.4,99.0,0.34
9.5,0.05,0.33,0.9927,6.1,24.0,3.15,1.1,0.78,169.0,0.36
10.4,0.047,0.2,0.99445,6.2,35.0,3.11,8.0,0.42,111.0,0.26
11.3,0.047,0.27,0.99173,7.3,16.0,3.07,3.8,0.46,79.0,0.25
10.4,0.121,0.24,0.99508,7.3,32.0,3.17,8.1,0.38,162.0,0.17
10.6,0.04,0.34,0.9932,7.9,29.0,3.14,1.2,0.41,118.0,0.2
9.3,0.061,0.27,0.99772,7.2,46.0,2.99,11.2,0.59,149.0,0.19
9.4,0.045,0.23,0.9981,7.1,44.0,3.11,13.7,0.53,192.0,0.46
9.4,0.046,0.41,0.99558,6.6,59.0,3.14,7.0,0.48,194.0,0.28
9.7,0.032,0.41,0.99622,6.0,50.0,3.14,12.4,0.6,179.0,0.42
12.6,0.033,0.37,0.992,7.9,27.0,3.16,5.85,0.54,93.0,0.44
8.7,0.045,0.61,0.9974,7.1,54.0,3.11,11.8,0.45,155.0,0.43
9.8,0.035,0.34,0.99232,8.1,11.0,3.14,1.3,0.5,126.0,0.28
12.9,0.032,0.32,0.99188,6.7,29.0,3.13,9.0,0.65,113.0,0.35
9.4,0.053,0.53,0.9963,6.8,37.0,3.07,10.1,0.4,151.0,0.35
11.0,0.015,0.32,0.99278,7.8,47.0,2.99,7.4,0.39,124.0,0.19
12.4,0.028,0.36,0.9893,7.4,42.0,2.99,1.1,0.39,105.0,0.28
11.1,0.037,0.37,0.9948,6.9,16.0,3.05,9.1,0.54,76.0,0.28
9.0,0.05,0.12,0.99398,7.0,23.0,2.86,4.5,0.35,86.0,0.48
12.6,0.032,0.27,0.98942,6.2,13.0,2.9,3.2,0.69,73.0,0.36
11.0,0.046,0.25,0.99202,6.3,11.0,2.97,5.2,0.68,133.0,0.26
9.6,0.05,0.26,0.99514,6.4,53.0,3.14,7.9,0.5,180.0,0.32
8.5,0.054,0.48,1.00038,6.4,56.0,2.98,18.0,0.61,183.0,0.18
10.2,0.052,0.49,0.998,9.3,30.0,3.17,7.3,0.61,146.0,0.34
11.4,0.038,0.4,0.9901,6.9,22.0,3.03,1.3,0.39,101.0,0.25
12.5,0.027,0.26,0.99228,7.0,37.0,3.06,9.2,0.34,122.0,0.22
10.0,0.058,0.31,0.9931,7.4,38.0,3.16,1.4,0.53,167.0,0.18
10.9,0.039,0.28,0.99406,6.8,29.0,3.11,9.8,0.45,113.0,0.18
9.3,0.211,0.42,0.9988,8.0,37.0,2.99,12.6,0.56,213.0,0.55
11.8,0.057,0.27,0.99257,7.1,60.0,3.16,8.4,0.36,160.0,0.44
9.3,0.098,0.21,0.99657,7.0,13.0,3.03,10.7,0.47,91.0,0.39
9.7,0.036,0.13,0.9996,8.0,49.0,2.96,17.2,0.46,219.0,0.25
10.6,0.031,0.24,0.99397,7.5,28.0,3.16,7.1,0.38,141.0,0.31
11.5,0.043,0.38,0.9934,7.9,46.0,3.12,8.0,0.32,152.0,0.22
8.7,0.056,0.3,0.99825,7.4,33.0,2.9,13.7,0.44,168.0,0.16
12.4,0.03,0.37,0.992,7.9,40.0,3.17,4.5,0.54,114.0,0.41
10.4,0.05,0.39,0.994,10.0,19.0,3.0,1.4,0.42,152.0,0.2
10.6,0.031,0.32,0.9916,6.5,13.0,3.1,1.1,0.46,66.0,0.36
10.0,0.054,0.28,0.997,7.8,78.0,3.14,10.2,0.46,186.0,0.2
10.9,0.039,0.28,0.99406,6.8,29.0,3.11,9.8,0.45,113.0,0.18
8.7,0.056,0.3,0.99825,7.4,33.0,2.9,13.7,0.44,168.0,0.16
9.0,0.051,0.28,0.99792,7.0,29.0,2.96,14.7,0.39,149.0,0.15
9.5,0.053,0.33,0.99402,8.2,11.0,2.89,2.6,0.49,71.0,0.26
10.6,0.042,0.13,0.99114,6.0,60.0,3.06,1.2,0.52,172.0,0.39
9.5,0.056,0.27,0.9956,7.1,26.0,2.95,8.6,0.52,111.0,0.21
12.6,0.036,0.42,0.98871,5.8,19.0,3.1,1.1,0.46,113.0,0.3
10.6,0.029,0.32,0.9958,9.4,14.0,2.85,10.7,0.42,111.0,0.3
10.1,0.179,0.4,0.9925,6.4,5.0,3.09,1.7,0.54,60.0,0.26
8.9,0.045,0.5,0.9974,6.7,38.0,3.04,12.1,0.53,127.0,0.3
11.0,0.049,0.26,0.9928,6.0,22.0,3.15,6.8,0.42,93.0,0.2
9.1,0.049,0.54,0.9984,7.3,62.0,3.06,12.9,0.45,162.5,0.28
10.5,0.026,0.48,0.99184,8.5,23.0,2.9,1.1,0.5,58.0,0.19
12.4,0.033,0.25,0.98918,6.6,36.0,3.16,1.2,0.37,111.0,0.27
9.6,0.047,0.24,0.9951,7.8,21.0,2.94,7.7,0.31,98.0,0.15
10.2,0.043,0.41,0.9946,6.6,29.0,3.15,7.4,0.6,151.0,0.25
9.2,0.052,0.48,0.99782,6.1,25.0,3.07,15.8,0.45,94.0,0.25
10.3,0.048,0.33,0.9972,8.1,46.0,3.16,10.2,0.48,141.0,0.24
9.3,0.05,0.37,0.99488,6.4,60.0,2.86,7.9,0.49,150.0,0.23
9.5,0.039,0.31,0.9976,8.2,96.0,3.07,11.8,0.52,249.0,0.18
9.0,0.05,0.44,0.99679,7.4,40.0,3.12,7.6,0.52,227.0,0.33
10.5,0.033,0.33,0.9922,7.9,20.0,3.12,1.2,0.38,72.0,0.18
9.1,0.059,0.5,0.9983,7.1,6.0,2.94,14.5,0.44,148.0,0.31
10.9,0.057,0.39,0.99176,7.9,21.0,3.05,2.0,0.52,138.0,0.21
10.0,0.032,0.49,0.99368,9.7,3.0,2.85,4.9,0.54,18.0,0.24
11.7,0.036,0.29,0.99,7.3,26.0,3.09,1.0,0.37,101.0,0.18
9.1,0.083,0.25,0.99976,6.4,35.0,3.17,20.2,0.5,157.0,0.24
10.4,0.057,0.3,0.99554,7.3,34.0,3.15,9.4,0.44,178.0,0.34
12.5,0.035,0.32,0.99144,7.6,22.0,3.08,3.6,0.6,93.0,0.39
9.8,0.041,0.49,0.9945,9.2,39.0,3.04,1.5,0.49,130.0,0.18
10.6,0.022,0.3,0.99576,7.2,14.0,3.11,8.7,0.61,111.0,0.3
9.8,0.048,0.16,0.99428,7.2,14.0,3.09,5.9,0.49,125.0,0.47
8.8,0.053,0.28,1.0103,7.9,35.0,3.15,31.6,0.38,176.0,0.33
11.4,0.042,0.25,0.99034,5.9,12.0,3.02,2.0,0.54,110.0,0.34
9.2,0.056,0.28,0.9983,7.6,68.0,2.99,12.0,0.3,143.0,0.22
12.9,0.03,0.26,0.9908,6.2,39.0,3.08,9.7,0.56,102.0,0.2
9.7,0.042,0.09,0.99382,5.8,36.0,3.15,6.3,0.48,138.0,0.3
12.5,0.044,0.33,0.99035,8.0,28.0,3.03,1.2,0.43,101.0,0.24
10.5,0.04,0.34,0.9918,8.5,5.0,3.04,0.7,0.37,25.0,0.22
10.5,0.042,0.41,0.9922,9.2,14.0,2.96,1.0,0.25,59.0,0.28
10.5,0.048,0.22,0.99256,6.3,41.0,3.16,3.3,0.5,161.0,0.25
9.6,0.044,0.29,0.9982,7.7,39.0,3.06,15.3,0.47,194.0,0.24
9.9,0.044,0.32,0.9921,6.8,19.0,3.1,1.5,0.43,142.0,0.27
11.0,0.055,0.36,0.99318,7.0,42.0,3.11,6.4,0.5,123.0,0.17
9.4,0.042,0.21,0.99373,6.1,17.0,3.02,5.0,0.53,133.0,0.34
9.1,0.045,0.27,1.00014,8.3,48.0,3.02,17.5,0.56,253.0,0.28
8.8,0.057,0.27,0.99807,7.3,45.0,2.94,13.9,0.41,155.0,0.19
10.2,0.04,0.38,0.9932,8.6,41.0,2.95,3.4,0.39,143.0,0.16
8.8,0.053,0.15,0.99347,6.0,35.0,3.08,1.2,0.46,124.0,0.26
11.6,0.031,0.22,0.993,6.9,10.0,3.0,4.2,0.86,102.0,0.41
