alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,residual sugar,sulphates,total sulfur dioxide,volatile acidity
13.1,0.039,0.38,0.98963,5.8,22.0,3.23,4.9,0.58,86.0,0.3
9.0,0.054,0.46,0.99848,6.7,67.0,3.23,9.7,0.5,234.0,0.42
11.1,0.046,0.28,0.99199,6.5,26.0,3.43,1.4,0.48,66.0,0.21
9.0,0.037,0.3,0.9967,7.9,37.0,3.47,4.8,0.44,171.0,0.16
9.4,0.052,0.4,0.9986,6.9,81.0,3.2,15.4,0.69,198.0,0.24
9.4,0.048,0.41,0.99537,6.6,55.0,3.2,7.2,0.46,178.0,0.32
13.0,0.032,0.39,0.98912,6.7,14.0,3.31,1.0,0.38,71.0,0.19
9.2,0.034,0.0,0.9932,7.2,46.0,3.19,0.8,0.34,114.0,0.5
10.3,0.052,0.44,0.99688,6.5,65.0,3.26,12.6,0.7,158.0,0.15
9.7,0.044,0.07,0.9945,5.3,34.0,3.34,7.1,0.57,145.0,0.585
10.6,0.051,0.26,0.9946,7.0,25.0,3.36,1.7,0.6,161.0,0.61
10.4,0.043,0.25,0.99429,5.6,31.0,3.19,8.0,0.42,101.0,0.23
10.0,0.043,0.39,0.9948,7.2,21.0,3.52,1.8,0.47,159.0,0.15
10.2,0.055,0.35,0.99576,7.7,25.0,3.24,5.8,0.54,144.0,0.18
9.1,0.049,0.34,0.9968,6.7,29.0,3.22,9.2,0.51,150.0,0.41
12.1,0.048,0.34,0.99084,7.7,4.0,3.18,1.2,0.34,119.0,0.3
11.9,0.051,0.28,0.99224,6.7,14.0,3.36,4.5,0.58,92.0,0.28
11.0,0.048,0.32,0.99281,6.1,47.0,3.22,6.2,0.6,161.0,0.27
9.6,0.051,0.49,0.9928,6.1,18.0,3.3,1.5,0.46,87.0,0.22
9.6,0.052,0.38,0.9958,7.1,49.0,3.35,7.4,0.52,182.0,0.17
10.0,0.051,0.37,0.9941,7.8,16.0,3.32,1.3,0.62,96.0,0.3
8.9,0.044,0.34,0.99976,7.8,66.0,3.22,13.7,0.75,184.0,0.25
9.5,0.053,0.43,0.9982,8.0,29.0,3.4,10.1,0.46,146.0,0.36
10.0,0.045,0.26,0.9934,6.6,16.0,3.36,1.3,0.6,128.0,0.23
10.6,0.049,0.3,0.9932,6.3,14.0,3.28,4.8,0.39,85.0,0.36
9.3,0.047,0.29,0.9982,7.0,40.0,3.22,15.2,0.45,171.0,0.25
10.3,0.049,0.36,0.996,7.6,38.0,3.6,2.4,0.46,123.0,0.18
9.3,0.043,0.34,0.9962,6.7,41.0,3.42,8.8,0.4,113.0,0.11
9.5,0.047,0.37,0.99523,6.2,54.0,3.19,7.1,0.48,201.0,0.26
10.8,0.039,0.34,0.9927,7.0,21.0,3.32,1.4,0.62,177.0,0.15
10.7,0.04,0.38,0.994,6.8,27.0,3.37,4.7,0.58,103.0,0.2
9.8,0.054,0.74,1.0004,6.7,44.0,3.51,19.4,0.45,169.0,0.25
9.2,0.053,0.26,0.9965,6.9,32.0,3.25,8.3,0.51,180.0,0.32
12.3,0.027,0.38,0.98926,6.5,31.0,3.24,1.0,0.36,90.0,0.24
12.0,0.032,1.0,0.99742,7.7,42.0,3.29,19.95,0.5,164.0,0.43
9.8,0.05,0.25,0.9984,7.6,45.0,3.34,13.9,0.5,199.0,0.27
10.8,0.043,0.35,0.9927,6.9,21.0,3.25,1.3,0.62,182.0,0.16
11.9,0.03,0.32,0.99044,5.7,33.0,3.33,1.6,0.52,122.0,0.21
12.5,0.024,0.44,0.98935,6.3,36.0,3.18,1.7,0.4,116.0,0.25
12.3,0.033,0.24,0.99043,5.8,65.0,3.59,1.4,0.56,169.0,0.2
11.3,0.036,0.48,0.99162,6.8,35.0,3.18,1.5,0.45,165.0,0.23
10.5,0.036,0.33,0.9916,5.8,23.0,3.18,1.2,0.6,99.0,0.31
11.1,0.03,0.25,0.9912,6.2,35.0,3.3,1.4,0.44,105.0,0.25
8.8,0.05,0.42,0.9999,7.0,35.0,3.22,18.05,0.42,144.0,0.23
11.2,0.041,0.27,0.9909,6.2,51.0,3.28,1.4,0.38,117.0,0.15
9.1,0.049,0.34,0.9968,6.7,29.0,3.22,9.2,0.51,150.0,0.41
12.3,0.036,0.32,0.98964,6.5,19.0,3.18,1.3,0.41,76.0,0.15
9.2,0.042,0.13,0.996,6.9,11.0,3.23,7.8,0.37,117.0,0.32
9.5,0.049,0.26,0.9946,8.3,56.0,3.21,1.5,0.62,189.0,0.14
11.85,0.048,0.6,0.99331,7.9,13.0,3.24,1.85,0.49,106.0,0.3
10.2,0.036,0.33,0.99521,6.1,27.0,3.34,10.7,0.52,98.0,0.32
10.3,0.04,0.36,0.9924,6.8,25.0,3.23,1.6,0.66,87.0,0.28
9.5,0.036,0.36,0.9934,6.9,40.0,3.27,1.3,0.95,117.0,0.18
9.1,0.054,0.4,0.99482,5.4,29.0,3.42,3.3,0.52,147.0,0.375
